customer_id,product_id,order_line,order_id,order-date,ship_date,ship_mode,Sales,Quantity,Discount,Profit,category,sub_category,product_name,customer_name,Segment,Age,Country,City,State,postal_code,Region
CG-12520,FUR-BO-10001798,1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,261.96,2,0.0,41.9136,Furniture,Bookcases,Bush Somerset Collection Bookcase,Claire Gute,Consumer,67,United States,Henderson,Kentucky,42420,South
CG-12520,FUR-CH-10000454,2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,731.94,3,0.0,219.582,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs  Rounded Back,Claire Gute,Consumer,67,United States,Henderson,Kentucky,42420,South
DV-13045,OFF-LA-10000240,3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,14.62,2,0.0,6.8714,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Darrin Van Huff,Corporate,31,United States,Los Angeles,California,90036,West
SO-20335,FUR-TA-10000577,4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,957.5775,5,0.45,-383.031,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,Sean O'Donnell,Consumer,65,United States,Fort Lauderdale,Florida,33311,South
SO-20335,OFF-ST-10000760,5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,22.368,2,0.2,2.5164,Office Supplies,Storage,Eldon Fold N Roll Cart System,Sean O'Donnell,Consumer,65,United States,Fort Lauderdale,Florida,33311,South
BH-11710,FUR-FU-10001487,6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,48.86,7,0.0,14.1694,Furniture,Furnishings,Eldon Expressions Wood and Plastic Desk Accessories  Cherry Wood,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West
BH-11710,OFF-AR-10002833,7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,7.28,4,0.0,1.9656,Office Supplies,Art,Newell 322,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West
BH-11710,TEC-PH-10002275,8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,907.152,6,0.2,90.7152,Technology,Phones,Mitel 5320 IP Phone VoIP phone,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West
BH-11710,OFF-BI-10003910,9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,18.504,3,0.2,5.7825,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West
BH-11710,OFF-AP-10002892,10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,114.9,5,0.0,34.47,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West
BH-11710,FUR-TA-10001539,11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,1706.184,9,0.2,85.3092,Furniture,Tables,Chromcraft Rectangular Conference Tables,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West
BH-11710,TEC-PH-10002033,12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,911.424,4,0.2,68.3568,Technology,Phones,Konftel 250 Conference phone Charcoal black,Brosina Hoffman,Consumer,20,United States,Los Angeles,California,90032,West
AA-10480,OFF-PA-10002365,13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,15.552,3,0.2,5.4432,Office Supplies,Paper,Xerox 1967,Andrew Allen,Consumer,50,United States,Concord,North Carolina,28027,South
IM-15070,OFF-BI-10003656,14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,407.976,3,0.2,132.5922,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,Irene Maddox,Consumer,66,United States,Seattle,Washington,98103,West
HP-14815,OFF-AP-10002311,15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,68.81,5,0.8,-123.858,Office Supplies,Appliances,Holmes Replacement Filter for HEPA Air Cleaner  Very Large Room  HEPA Filter,Harold Pawlan,Home Office,20,United States,Fort Worth,Texas,76106,Central
HP-14815,OFF-BI-10000756,16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,2.544,3,0.8,-3.816,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,Harold Pawlan,Home Office,20,United States,Fort Worth,Texas,76106,Central
PK-19075,OFF-ST-10004186,17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,665.88,6,0.0,13.3176,Office Supplies,Storage,Stur-D-Stor Shelving  Vertical 5-Shelf: 72H x 36W x 18 1/2D,Pete Kriz,Consumer,46,United States,Madison,Wisconsin,53711,Central
AG-10270,OFF-ST-10000107,18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,55.5,2,0.0,9.99,Office Supplies,Storage,Fellowes Super Stor/Drawer,Alejandro Grove,Consumer,18,United States,West Jordan,Utah,84084,West
ZD-21925,OFF-AR-10003056,19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,8.56,2,0.0,2.4824,Office Supplies,Art,Newell 341,Zuschuss Donatelli,Consumer,66,United States,San Francisco,California,94109,West
ZD-21925,TEC-PH-10001949,20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,213.48,3,0.2,16.011,Technology,Phones,Cisco SPA 501G IP Phone,Zuschuss Donatelli,Consumer,66,United States,San Francisco,California,94109,West
